Parent Object,Operation,Component Type,Component Name,API Name,Comments,Owner: Full Name,Last Modified Date
null,Update,ApexPage,APTS_HBTRR_FinancialOpLog, , ,Artem Nakhapetiani,Thu Nov 16 16:27:14 GET 2017
null,Update,ApexPage,APTS_HBTRR_Main, , ,Tengo Lebanidze,Mon Dec 18 16:21:07 GET 2017
null,Create,WorkflowOutboundMessage,LCBS - Payment Method Expiration,Account.LCBS_Payment_Method_Expiration, ,conga conga,Wed Nov 15 19:44:19 GET 2017
null,Create,WorkflowOutboundMessage,LCBS - Price Change,Account.LCBS_Price_Change, ,conga conga,Wed Nov 15 19:45:49 GET 2017
null,Update,WorkflowOutboundMessage,RPSAccount,Account.RPSAccount,RPS Screening Account,Yury Yagutyan,Wed Dec 13 19:42:08 GET 2017
null,Update,WorkflowOutboundMessage,APTS LCBS GL Sync Notification,Apttus_Billing__Invoice__c.APTS_LCBS_GL_Sync_Notification, ,Susheel Bist,Wed Nov 29 21:25:56 GET 2017
null,Create,WorkflowOutboundMessage,LCBS - Invoice Generated,Apttus_Billing__Invoice__c.LCBS_Invoice_Generated, ,Susheel Bist,Wed Nov 29 21:10:13 GET 2017
null,Create,WorkflowOutboundMessage,LCBS - Payment Declined,Apttus_Billing__Invoice__c.LCBS_Payment_Declined, ,Susheel Bist,Wed Nov 29 21:10:48 GET 2017
null,Update,WorkflowOutboundMessage,APTS LCBS Provisioning Notification,Apttus_Config2__Order__c.APTS_LCBS_Ord_Prov_Notification,Subscription Billing:  Send Order notification to orchestration layer for provisioning,Susheel Bist,Wed Nov 29 21:21:07 GET 2017
null,Create,WorkflowOutboundMessage,LCBS - Subscription Activation Notificat,Apttus_Config2__Order__c.LCBS_Subscription_Activation_Notificat, ,Susheel Bist,Wed Nov 29 21:11:10 GET 2017
null,Create,WorkflowOutboundMessage,LCBS Payment Method Expiration,User.LCBS_Payment_Method_Expiration,Created by Conga Professional Services.,conga conga,Fri Dec 01 21:48:57 GET 2017
null,Create,WorkflowOutboundMessage,LCBS Price Change Notification,User.LCBS_Price_Change_Notification, ,conga conga,Fri Dec 01 21:59:26 GET 2017
APTS HBTRR Financial Operation Log,Update,CustomObject,APTS_HBTRR_Financial_Operation_Log__c, , ,Tengo Lebanidze,Mon Oct 30 17:15:33 GET 2017
APTS HBTRR General Settings,Update,Custom Setting,APTS_HBTRR_General_Settings__c, , ,Artem Nakhapetiani,Thu Jan 11 19:00:49 GET 2018
APTS HBTRR Source Specific Settings,Update,Custom Setting,APTS_HBTRR_Source_Specific_Settings__c, , ,Artem Nakhapetiani,Thu Jan 11 18:16:29 GET 2018
APTS HBTRR Sovos Settings,Create,Custom Setting,APTS_HBTRR_Sovos_Settings__c, , ,Artem Nakhapetiani,Mon Dec 11 18:58:36 GET 2017
APTS Paymetric Config Settings,Update,Custom Setting,APTS_Paymetric_Config_Settings__c, , ,Artem Nakhapetiani,Thu Jan 11 18:36:49 GET 2018
Product Attribute Usage,Update,CustomObject,APTS_ProductAttributeUsage__c, , ,Tengo Lebanidze,Fri Dec 01 18:21:00 GET 2017
Credit Memo Line Item,Update,CustomObject,Apttus_Billing__CreditMemoLineItem__c, , ,Tengo Lebanidze,Fri Dec 01 15:55:09 GET 2017
Credit Memo Tax Breakup,Update,CustomObject,Apttus_Billing__CreditMemoTaxBreakup__c, , ,Tengo Lebanidze,Fri Dec 01 15:56:13 GET 2017
Credit Memo,Update,CustomObject,Apttus_Billing__CreditMemo__c, , ,Tengo Lebanidze,Fri Dec 01 15:57:33 GET 2017
Invoice Line Item,Update,CustomObject,Apttus_Billing__InvoiceLineItem__c, , ,Tengo Lebanidze,Fri Dec 01 15:59:10 GET 2017
Invoice,Update,CustomObject,Apttus_Billing__Invoice__c, , ,Tengo Lebanidze,Tue Dec 26 17:07:27 GET 2017
Payment Method,Update,CustomObject,Apttus_Billing__PaymentMethod__c, , ,Artem Nakhapetiani,Tue Oct 31 17:02:03 GET 2017
Refund,Update,CustomObject,Apttus_Billing__Refund__c, , ,Tengo Lebanidze,Fri Dec 01 16:03:36 GET 2017
Asset Attribute Value,Update,CustomObject,Apttus_Config2__AssetAttributeValue__c, , ,Tengo Lebanidze,Thu Dec 14 17:47:41 GET 2017
Asset Line Item,Update,CustomObject,Apttus_Config2__AssetLineItem__c, , ,Artem Nakhapetiani,Mon Dec 04 19:25:11 GET 2017
